#SOD    DOY YEAR  NSATS   RX-LAT[DEG]     RX-LON[DEG]   RX-ALT[m]       EPE[m]   NPE[m]   UPE[m]  SIG-EPE  SIG-NPE  SIG-UPE   GDOP      PDOP     TDOP     HDOP     VDOP
 540.0   6 2015    7    43.428559459     1.497031500   252.060300000    0.666   -0.808   -1.395    3.638    4.614    9.443    2.575    2.224    1.297    1.166    1.894
 545.0   6 2015    7    43.428560524     1.497030822   251.733400000    0.611   -0.690   -1.722    3.639    4.616    9.439    2.574    2.224    1.297    1.166    1.894
 550.0   6 2015    7    43.428557245     1.497028511   251.177800000    0.423   -1.054   -2.277    3.640    4.617    9.435    2.574    2.224    1.296    1.167    1.893
 555.0   6 2015    7    43.428562202     1.497027157   252.296600000    0.314   -0.503   -1.158    3.641    4.619    9.431    2.573    2.223    1.296    1.167    1.892
 560.0   6 2015    7    43.428562419     1.497031749   254.089200000    0.686   -0.479    0.634    3.642    4.620    9.428    2.572    2.223    1.295    1.167    1.891
 565.0   6 2015    7    43.428559039     1.497027409   251.027800000    0.334   -0.855   -2.427    3.643    4.622    9.424    2.572    2.222    1.294    1.168    1.891
 570.0   6 2015    7    43.428559538     1.497033053   252.703200000    0.791   -0.799   -0.752    3.644    4.624    9.420    2.571    2.222    1.294    1.168    1.890
 575.0   6 2015    7    43.428555754     1.497025650   251.954700000    0.192   -1.220   -1.500    3.646    4.625    9.416    2.570    2.221    1.293    1.168    1.889
 580.0   6 2015    7    43.428561742     1.497028065   251.962600000    0.387   -0.555   -1.492    3.647    4.627    9.412    2.570    2.221    1.293    1.169    1.888
 585.0   6 2015    7    43.428563075     1.497029408   251.893800000    0.496   -0.406   -1.561    3.648    4.628    9.409    2.569    2.220    1.292    1.169    1.888
 590.0   6 2015    7    43.428562891     1.497030601   251.907300000    0.593   -0.427   -1.548    3.649    4.630    9.405    2.568    2.220    1.292    1.170    1.887
 595.0   6 2015    7    43.428558490     1.497029991   252.096100000    0.543   -0.916   -1.359    3.650    4.632    9.401    2.568    2.220    1.291    1.170    1.886
 600.0   6 2015    7    43.428567121     1.497025863   251.797600000    0.209    0.043   -1.657    3.651    4.633    9.397    2.567    2.219    1.291    1.170    1.885
 605.0   6 2015    7    43.428567819     1.497023928   251.044800000    0.052    0.121   -2.410    3.652    4.635    9.393    2.566    2.219    1.290    1.171    1.885
 610.0   6 2015    7    43.428565649     1.497028212   251.200700000    0.399   -0.120   -2.254    3.653    4.636    9.389    2.566    2.218    1.290    1.171    1.884
 615.0   6 2015    7    43.428567942     1.497025173   251.731900000    0.153    0.134   -1.723    3.654    4.638    9.386    2.565    2.218    1.289    1.171    1.883
 620.0   6 2015    7    43.428561534     1.497031234   252.362700000    0.644   -0.578   -1.092    3.655    4.640    9.382    2.564    2.217    1.288    1.172    1.882
 625.0   6 2015    7    43.428570093     1.497024927   251.066000000    0.133    0.373   -2.389    3.656    4.641    9.378    2.564    2.217    1.288    1.172    1.881
 630.0   6 2015    7    43.428567934     1.497029158   253.101900000    0.476    0.133   -0.353    3.658    4.643    9.374    2.563    2.216    1.287    1.173    1.881
 635.0   6 2015    7    43.428568819     1.497023825   250.607500000    0.044    0.232   -2.848    3.659    4.645    9.371    2.562    2.216    1.287    1.173    1.880
 640.0   6 2015    7    43.428570701     1.497024797   251.952100000    0.123    0.441   -1.503    3.660    4.646    9.367    2.562    2.216    1.286    1.173    1.879
 645.0   6 2015    7    43.428563756     1.497030906   251.484500000    0.618   -0.331   -1.970    3.661    4.648    9.363    2.561    2.215    1.286    1.174    1.879
 650.0   6 2015    7    43.428563172     1.497028497   249.981500000    0.422   -0.396   -3.474    3.662    4.650    9.359    2.561    2.215    1.285    1.174    1.878
 655.0   6 2015    7    43.428562957     1.497029226   251.830900000    0.481   -0.419   -1.624    3.663    4.651    9.355    2.560    2.214    1.285    1.175    1.877
 660.0   6 2015    7    43.428568834     1.497025748   251.512900000    0.200    0.233   -1.942    3.664    4.653    9.352    2.559    2.214    1.284    1.175    1.876
 665.0   6 2015    7    43.428566846     1.497026896   251.073000000    0.293    0.013   -2.382    3.665    4.655    9.348    2.559    2.213    1.284    1.175    1.876
 670.0   6 2015    7    43.428559311     1.497029259   252.005400000    0.484   -0.825   -1.450    3.666    4.656    9.344    2.558    2.213    1.283    1.176    1.875
 675.0   6 2015    7    43.428567143     1.497029497   251.841600000    0.503    0.045   -1.613    3.667    4.658    9.341    2.557    2.213    1.282    1.176    1.874
 680.0   6 2015    7    43.428566613     1.497024585   251.506300000    0.106   -0.013   -1.949    3.668    4.660    9.337    2.557    2.212    1.282    1.177    1.873
 685.0   6 2015    7    43.428564274     1.497026211   251.323400000    0.237   -0.273   -2.132    3.670    4.661    9.333    2.556    2.212    1.281    1.177    1.873
 690.0   6 2015    7    43.428564706     1.497030162   251.242700000    0.557   -0.225   -2.212    3.671    4.663    9.329    2.555    2.211    1.281    1.177    1.872
 695.0   6 2015    7    43.428567175     1.497026568   252.939900000    0.266    0.049   -0.515    3.672    4.665    9.326    2.555    2.211    1.280    1.178    1.871
 700.0   6 2015    7    43.428561439     1.497030440   252.406400000    0.580   -0.588   -1.049    3.673    4.666    9.322    2.554    2.211    1.280    1.178    1.870
